flag,year,cattle_afflicted,cattle_treated,cattle_death_disease,cattle_death_other,cattle_vac_total,cattle_vac_anthrax,cattle_vac_blackleg,cattle_vac_pleuro_pneumonia,cattle_vac_hemorrhagic_septicemia,cattle_vac_rinderpest,cattle_vac_other,total_deaths,male_deaths,female_deaths,region,
HA,2013,7260,2344,4350,572,17005,5818,5655,-1,-1,0,4192,4923,1788,3135,0
HA,2014,6967,3857,2790,250,32602,11222,9896,0,7490,0,-1,3040,1165,1876,0
HA,2015,10605,6845,3762,634,23844,11665,7942,0,-1,0,-1,4748,1882,2866,0
HA,2016,11405,7119,4863,457,25147,9320,8269,-1,7525,0,0,5319,1791,3529,0
HA,2017,10697,5320,4503,1037,53727,19472,21042,0,-1,0,-1,5540,2050,3490,0
HA,2018,7401,4095,3119,-1,-1,-1,-1,-1,-1,0,0,3268,1356,1912,0
HA,2019,6178,2504,2796,728,9653,-1,-1,-1,-1,0,2689,3524,1339,2185,0
HA,2020,9285,4483,3283,1229,18057,6751,2557,-1,-1,0,0,4512,2282,2230,0
OR,2003,32895,3729,0,0,53599,0,0,0,0,0,0,17213,0,0,0
OR,2004,39649,5154,22460,11302,79863,0,0,0,0,0,0,0,0,0,0
OR,2005,38073,3260,33238,-1,18132,871,422,15093,-1,0,-1,43415,16577,26838,0
OR,2006,58903,-1,27985,169010,32002,-1,-1,-1,228,0,-1,196995,51864,145132,0
OR,2007,62257,4820,25816,3518,34359,-1,-1,-1,0,-1,-1,29335,10355,18980,0
OR,2008,155282,9652,118481,83249,25899,10328,-1,-1,0,0,-1,201730,66740,134990,0
OR,2009,113926,-1,58037,67621,79030,-1,-1,-1,0,0,0,125658,41464,84195,0
OR,2010,36062,8087,21288,14381,118162,-1,-1,89152,-1,0,-1,35669,12929,22741,0
OR,2011,68009,16527,26639,271607,118840,-1,-1,77712,-1,0,-1,298247,75739,222508,0
OR,2012,39268,11662,21975,-1,39542,-1,-1,11951,-1,0,-1,50968,15625,35343,0
OR,2013,34710,11092,13042,4229,54521,2106,-1,22725,2708,0,22418,17271,6715,10557,0
OR,2014,42790,12523,15962,-1,49435,-1,-1,-1,-1,0,-1,34088,12376,21712,0
OR,2015,35499,10162,17754,7096,59766,-1,-1,19229,-1,0,14135,32082,10882,21199,0
OR,2016,56603,22756,27686,37672,60765,-1,-1,28397,-1,0,-1,65358,21762,43596,0
OR,2017,65814,23702,33313,47179,44986,-1,0,-1,0,0,-1,80492,26187,54304,0
OR,2018,65814,23702,33313,47179,44986,-1,0,-1,0,0,-1,80492,26187,54304,0
OR,2019,489602,125093,271113,57342,78360,-1,0,-1,22625,0,-1,328456,100275,228180,0
OR,2020,810980,142727,366942,238769,115301,8232,-1,42603,-1,0,0,605710,255440,350270,0
SN,2003,1170517,379927,0,0,1683191,0,0,0,0,0,0,562667,0,0,0
SN,2004,1130027,324683,552927,147560,1843974,0,0,0,0,0,0,0,0,0,0
