id,year,total_poultry,total_cocks,total_cockerels,total_pullets,total_nonlaying_hens,total_chicks,total_laying_hens,total_poultry_indigenous,total_cocks_indigenous,total_cockerels_indigenous,total_pullets_indigenous,total_nonlaying_hens_indigenous,total_chicks_indigenous,total_laying_hens_indigenous,total_poultry_hybrid,total_cocks_hybrid,total_cockerels_hybrid,total_pullets_hybrid,total_nonlaying_hens_hybrid,total_chicks_hybrid,total_laying_hens_hybrid,total_poultry_exotic,total_cocks_exotic,total_cockerels_exotic,total_pullets_exotic,total_nonlaying_hens_exotic,total_chicks_exotic,total_laying_hens_exotic,
5,2013,779626,86190,50242,99933,40002,246011,257248,678041,71205,44103,86090,26536,228348,221760,56425,5231,5127,6425,-1,11407,16597,45160,9754,0,7419,-1,0,18891
6,2013,617473,49124,49014,86037,27673,255030,150596,596577,45846,48216,83689,26889,245699,146238,16591,2019,-1,2242,0,8302,0,4305,1260,-1,0,-1,0,1699
7,2013,124489,8735,7215,13699,9727,47278,37836,112021,7889,5945,12429,8880,43572,33306,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1
8,2013,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
9,2013,105110,6907,5945,12031,7393,41341,31493,104069,6907,5945,12031,7393,40598,31196,-1,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1
10,2013,14524806,1293921,703580,1387676,387659,5981024,4770945,14085095,1257421,685505,1343127,376733,5856640,4565669,368374,27981,13821,34797,8612,120876,162287,71337,8520,4253,9753,2314,0,42989
11,2013,4006511,264880,264352,427429,97255,2043049,909547,3918004,258255,262685,420290,97255,1997368,882151,88055,6625,0,7139,0,45681,26944,0,0,-1,0,0,0,0
12,2013,1511497,113036,65054,161543,31395,594940,545529,1486802,113036,64675,156522,30114,594940,527515,19135,0,0,-1,-1,0,15130,5560,0,-1,-1,-1,0,2884
13,2013,959012,179945,43813,84766,33954,325659,290876,940184,175879,42656,83893,33217,323719,280821,12330,1035,0,-1,0,0,7034,6498,0,-1,-1,-1,-1,0
14,2013,1642545,261253,53718,119045,73729,502342,632458,1597269,257614,52613,116432,70090,493109,607410,27437,-1,-1,-1,-1,-1,13478,17839,-1,0,-1,-1,-1,11570
15,2013,1506466,144297,56372,109550,51097,483304,661846,1457072,138429,54452,104817,49218,470146,640010,35593,3620,-1,2839,-1,-1,15820,0,0,-1,0,-1,-1,6016
16,2013,1147268,95372,47291,112304,18910,320180,553213,1066041,89400,45211,106162,17448,298782,509038,74329,5972,-1,6141,-1,21398,39130,0,0,-1,0,-1,0,5045
17,2013,2314008,116890,99634,221022,56234,1104448,715780,2236608,112089,93267,211913,54684,1077826,686829,73834,-1,-1,9109,0,26622,26453,0,-1,-1,0,-1,0,0
18,2013,345931,34102,15717,34884,10026,147367,103836,335681,33211,14525,33323,10026,144826,99770,9442,779,-1,-1,0,0,3836,808,0,-1,-1,0,-1,0
19,2013,787193,48719,46117,88262,7105,317257,279733,753816,45662,44134,82900,6726,315932,258463,21484,2137,-1,-1,0,0,12060,0,0,-1,-1,-1,-1,0
20,2013,274775,30988,10426,26377,6881,129044,71059,264274,29423,10201,24433,6881,126701,66636,6512,1361,0,-1,0,-1,2384,0,0,-1,-1,0,-1,0
78,2013,29599,4440,1087,2495,1075,13434,7068,29346,4422,1087,2441,1075,13293,7028,-1,0,0,-1,0,0,-1,-1,-1,0,-1,0,-1,-1
21,2013,19313874,2207650,974262,1809784,626388,6788323,6907467,18870876,2153885,957187,1766420,614111,6711725,6667548,362322,46056,15104,33297,8679,74411,184776,80676,7710,0,10067,3599,0,55144
22,2013,1306425,148288,88341,136482,23657,519920,389736,1299354,147555,87972,135482,23432,519920,384992,5512,-1,0,0,0,0,3551,0,-1,-1,-1,-1,0,0
72,2013,736147,86270,37436,81187,9698,304637,216919,730167,85738,37436,80773,9599,304637,211983,4361,0,0,-1,0,0,3730,0,-1,0,0,-1,0,0
24,2013,979989,130765,34638,85104,32206,342623,354652,963813,129690,34458,83824,31096,336741,348004,12310,-1,0,-1,-1,0,3954,3866,-1,-1,-1,-1,-1,2695
